supplier,supplier_clean,diff
"Real Bobinagem, Unipessoal Lda","real bobinagem, unipessoal",0.33
"ООО ""РЕАЛАБ ПЛЮС""",realab plюs,0.43
Realcópia - Equipamentos de Escritório Lda,realcópia - equipamentos de escritório,0.24
"ООО ""РЕАЛДЕЗ""",realdez,0.27
"REALEX International, spol. s r.o.","realex international, spol. s r.o",0.25
Realityvortex - Unipessoal Lda,realityvortex - unipessoal,0.41
"ООО ""РЕАЛМЕД""",realmed,0.30
"ООО ""РЕАЛСЕРВИС""",realservis,0.59
"ООО ""РЕАМЕД-2000""",reamed-2000,0.38
Rebel Heart - Lda,rebel heart -,0.33
РЕБРІН ДМИТРО АНАТОЛІЙОВИЧ,rebrіn dmitro anatolійovič,0.26
Recantos Com Pormenor - Lda,recantos com pormenor -,0.29
"ООО ""РЕЦЕПТ ЗДОРОВЬЯ""",recept zdorovья,0.37
Recheio - Cash & Carry S.A,recheio - cash & carry,0.32
"Recheio Masterchef, Lda",recheio masterchef,0.55
"Reciclone - Consumíveis Informáticos, Lda",reciclone - consumíveis informáticos,0.26
Reclacambra - Publicidade e Serviços Lda,reclacambra - publicidade e serviços,0.33
"Reclalgarve - Publicidade e Design, Lda",reclalgarve - publicidade e design,0.74
Reclangol - Reclamos Luminosos de Portugal Lda,reclangol - reclamos luminosos de portugal,0.39
Reclatempo - Reclamos e Publicidade Lda,reclatempo - reclamos e publicidade,0.60
RECOLIM SL,recolim,0.29
"Recolte, Serviços e Meio Ambiente, S.A","recolte, serviços e meio ambiente",0.35
Recordar No Futuro - Unipessoal Lda,recordar no futuro - unipessoal,0.31
"Recorte & Contrastes, Unipessoal Lda","recorte & contrastes, unipessoal",0.57
"Rectometal - Empresa de Rectificações Metálicas, Reparações...","rectometal - empresa de rectificações metálicas, reparações",0.31
Rectângulo Vermelho Lda,rectângulo vermelho,0.21
"Red Art Simplify, Unipessoal Lda","red art simplify, unipessoal",0.30
Red Bull Technology Ltd,red bull technology ltd,0.24
RED C Research and Marketing Ltd,red c research and marketing ltd,0.51
RED E Med Ltd,red e med ltd,0.53
Red E Med Ltd,red e med ltd,1.00
RED E MED Ltd,red e med ltd,1.00
Red Elephant GmbH,red elephant,0.56
"Red String, S. L.",red string,0.45
"Reda, a.s.",reda,0.43
"REDA Ostrava, s.r.o.",reda ostrava,0.50
"Redecor - Revestimentos de Protecção e Decoração, S.A",redecor - revestimentos de protecção e decoração,0.27
"ООО ""РЕДФАРМ""",redfarm,0.15
"Redifogo-Materiais de Protecção e Segurança, Unipessoal Lda...","redifogo-materiais de protecção e segurança, unipessoal",0.16
"Redshift Consulting, Lda",redshift consulting,0.32
Redundante Alegria Lda,redundante alegria,0.32
Reed Specialist Recruitment Ltd,reed specialist recruitment ltd,0.29
"Reference Partner, Unipessoal Lda","reference partner, unipessoal",0.27
"REFIL, spol. s r.o.","refil, spol. s r.o",0.34
Refin spol. s.r.o.,refin spol,0.64
Refin spol. s r.o.,refin spol,0.74
Regal Polythene Ltd T/A Regal Disposables,regal polythene ltd t/a regal disposables,0.34
"UAB ""REGEJUS""",regejus,0.21
Regia Autonomă Rasirom,regia autonomă rasirom,0.34
Regicom - Soluções Informáticas Lda,regicom - soluções informáticas,0.38
"Regina J.reis Cardoso - Farmacia, Lda",regina j.reis cardoso - farmacia,0.41
Regina Lange Medizintechnik,regina lange medizintechnik,0.37
regiocom SE,regiocom se,0.26
"ООО ""РЕГИОМОНТИУМ""",regiomontium,0.52
"ООО ""РЕГИОН""",region,0.67
"ООО ""РЕГИОН-ИНВЕСТ""",region-invest,0.63
"ООО ""РЕГИОН-МЕД""",region-med,0.70
"ООО ""РЕГИОН-МЕДИКА""",region-medika,0.87
"ООО ""РЕГИОН-СЕРВИС""",region-servis,0.69
"ООО ""РЕГИОН-Т""",region-t,0.67
"ООО ""РЕГИОНСНАБ""",regionsnab,0.67
Regionální hospodářská komora Brno,regionální hospodářská komora brno,0.41
"Regive - Comércio de Equipamentos Informáticos, Limitada","regive - comércio de equipamentos informáticos, limitada",0.24
Região de Agueda Editora S.A,região de agueda editora,0.33
Regras e Histórias - Unipessoal Lda,regras e histórias - unipessoal,0.18
"ООО ""РЕГТАЙМ""",regtaйm,0.26
"""Reguli s.r.o.""",reguli s.r.o,0.32
Rehear Labs Ltd,rehear labs ltd,0.22
Rei dos Travões - Venda de Acessórios Para Automóveis e Serv...,rei dos travões - venda de acessórios para automóveis e serv,0.19
Reifeltshammer,reifeltshammer,0.22
"Reinaldo Fernandes Higino - Brindes Publicitários, Unipessoa...","reinaldo fernandes higino - brindes publicitários, unipessoa",0.16
Reintechnik GmbH,reintechnik,0.20
"ООО ""РЕКОРД""",rekord,0.35
Relab srl,relab,0.36
"RELATIONS CONSULTING, s. r. o.","relations consulting, s. r. o",0.24
Relgráfica - Artes Gráficas Lda,relgráfica - artes gráficas,0.29
Reload - Consultoria Informática Lda,reload - consultoria informática,0.44
"ООО ""РЕЛЬЕФ-ЦЕНТР""",relьef-centr,0.23
REMAPLAST spol. s.r.o.,remaplast spol,0.31
"REMAS posredovanje in zastopstvo, d.o.o. Ljubljana","remas posredovanje in zastopstvo, d.o.o. ljubljana",0.31
"ООО ""РЕМЕД""",remed,0.18
"ООО ""РЕМЕДИ""",remedi,0.91
"REMEDIKA, spol. s r.o.","remedika, spol. s r.o",0.44
Remedylink doo,remedylink,0.39
Ремезова Елена Юрьевна,remezova elena юrьevna,0.38
"ООО ""РЕМИСТР""",remistr,0.28
Ремизова Валентина Ивановна,remizova valentina ivanovna,0.29
"ООО ""РЕМОНТНАЯ КОМПАНИЯ""",remontnaя kompaniя,0.49
Ремпель Александр Иванович,rempelь aleksandr ivanovič,0.32
"Rempo Univers EU, s.r.o.",rempo univers eu,0.38
"Remsa - Aluguer, Lda",remsa - aluguer,0.45
"ООО ""РЕМЗ""",remz,0.32
Rena Spółdzielnia,rena spółdzielnia,0.29
Renania Trade S.R.L.,renania trade,0.47
Renault Sport Racing Ltd,renault sport racing ltd,0.43
Renault UK Ltd,renault uk ltd,0.63
"ООО ""РЕНЕССАНС КОСМЕТИК""",renessans kosmetik,0.44
"ООО ""РЕНИР""",renir,0.35
"Renopel-Renovação e Limpeza de Peles, S.A",renopel-renovação e limpeza de peles,0.20
Rentex GmbH,rentex,0.19
Rentokil Initial Portugal - Serviços de Protecção Ambiental...,rentokil initial portugal - serviços de protecção ambiental,0.15
Rentruri s.r.o.,rentruri,0.24
Renturi s.r.o.,renturi,0.93
René Ledoux,rené ledoux,0.44
"REO AMOS, spol. s r. o.","reo amos, spol. s r. o",0.18
"Reparationem, Unipessoal Lda","reparationem, unipessoal",0.39
Reportrues Lda,reportrues,0.41
"ООО ""РЕСИД""",resid,0.40
"Residências Montepio, Serviços de Saúde, S.A","residências montepio, serviços de saúde",0.23
ResMed (UK)Ltd,resmed,0.30
ResMed Finland Oy,resmed,0.58
ResMed S.A.S.,resmed,0.55
Resmed SES,resmed,0.82
Resmed Sweden AB,resmed,0.69
"ООО ""РЕСПЕКТ70""",respekt70,0.32
RESPILON Group s.r.o.,respilon group,0.35
RESPIRAIRE SRL,respiraire,0.50
"ООО ""РЕСПИРАТОРНЫЙ КОМПЛЕКС""",respiratornый kompleks,0.56
RESPIREX INTERNATIONAL LIMITED,respirex international limited,0.46
Respirátory,respirátory,0.39
"RESPOND & CO, s.r.o.",respond & co,0.43
RESTMED SRL,restmed,0.42
"ООО ""РЕСТОРАН СЕРВИС""",restoran servis,0.45
"Resulta - Publicidade , Unipessoal Lda","resulta - publicidade , unipessoal",0.33
Resultasílaba Unipessoal Lda,resultasílaba unipessoal,0.69
Resumo Próprio - Comunicação Unipessoal Lda,resumo próprio - comunicação unipessoal,0.51
Resumos Serenos - Unipessoal Lda,resumos serenos - unipessoal,0.66
"ООО ""РЕСУРС""",resurs,0.35
"Reta - Serviços Técnicos e Rent-A-Cargo, S.A",reta - serviços técnicos e rent-a-cargo,0.22
Retail d'Sign Factory Limited,retail dsign factory limited,0.27
Retalgrup - Representações Lda,retalgrup - representações,0.33
Retalhos Pioneiros Comércio de Tecidos e Linhas Lda,retalhos pioneiros comércio de tecidos e linhas,0.25
"Retda - Retailor Distribuição Alimentar, Sociedade Unipessoa...","retda - retailor distribuição alimentar, sociedade unipessoa",0.30
Reticências Coloridas - Unipessoal Lda,reticências coloridas - unipessoal,0.43
"Retrato Falado - Imprensa, Comunicação e Eventos Lda","retrato falado - imprensa, comunicação e eventos",0.29
"Retrosaria Prazeres, Unipessoal Lda","retrosaria prazeres, unipessoal",0.35
"Returnonideas - Consultoria, S.A",returnonideas - consultoria,0.31
РЕУТ КАТЕРИНА ВОЛОДИМИРІВНА,reut katerina volodimirіvna,0.26
"ООО ""РЕВЕРИ""",reveri,0.30
Rexel - Distribuição de Material Eléctrico S.A,rexel - distribuição de material eléctrico,0.21
"ООО ""РЕЗЕРВ МТ""",rezerv mt,0.24
"UAB ""Rezus.lt""",rezus.lt,0.47
"Rfma - Rui Fernando Martins, Unipessoal Lda","rfma - rui fernando martins, unipessoal",0.13
RG France,rg france,0.29
RG France Agence Fiprotec,rg france agence fiprotec,0.53
RG Safety,rg safety,0.35
RH money s.r.o.,rh money,0.47
Rhmais - Organização e Gestão de Recursos Humanos S.A,rhmais - organização e gestão de recursos humanos,0.21
Ribaltdistance Lda,ribaltdistance,0.22
"Ribeiro & Carlos, Lda",ribeiro & carlos,0.27
Ribeiro & Marques Lda,ribeiro & marques,0.79
"Riberimagem - Marketing Promocional, Lda",riberimagem - marketing promocional,0.42
Ricardo & Vaz Lda,ricardo & vaz,0.25
"Ricardo José Gonçalves - Equipamentos Urbanos, Unipessoal Ld...","ricardo josé gonçalves - equipamentos urbanos, unipessoal ld",0.27
"Ricardo Maciel - Informática, Unipessoal Lda","ricardo maciel - informática, unipessoal",0.60
"Ricoh España, S. L.",ricoh españa,0.31
"Ricoh Portugal, Unipessoal Lda","ricoh portugal, unipessoal",0.47
"ООО ""РИД""",rid,0.14
„Ридаком“ ЕООД,ridakom eood,0.40
"ООО ""РИГАДЕН""",rigaden,0.42
Riguer Lda,riguer,0.62
RihPanGalFarma SRL,rihpangalfarma,0.40
"ООО ""РИИМ""",riim,0.33
"ООО ""РИК""",rik,0.57
"ООО ""РИЛАЙБЛ""",rilaйbl,0.40
"ООО ""РИМ""",rim,0.40
"ООО ""РИНАЛ""",rinal,0.50
"UAB ""Rio Lindo""",rio lindo,0.43
"UAB ""Rio Lindo gifts""",rio lindo gifts,0.75
"ООО ""РИОМЕД""",riomed,0.38
ООО «РИОМЕД»,riomed,1.00
"Riopele Fashion Solutions, S.A",riopele fashion solutions,0.26
"Ris 2048 - Sistemas Informáticos e Comunicações, S.A",ris 2048 - sistemas informáticos e comunicações,0.28
"Risquinha - Vestuário Profissional, Lda",risquinha - vestuário profissional,0.20
Ritmos Coincidentes Lda,ritmos coincidentes,0.26
Ritmos e Artifícios Lda,ritmos e artifícios,0.58
RIVER TRADE & SERVICES SRL,river trade & services,0.29
River Trade & Services S.R.L.,river trade & services,1.00
Rivolier,rivolier,0.33
"Rivolier père et fils Armurerie, SAS","rivolier père et fils armurerie, sas",0.36
Rivolier Père et FS Armurerie SAS,"rivolier père et fils armurerie, sas",0.96
Rivolier SAS,rivolier sas,0.53
Riwodis,riwodis,0.53
Rixlab srl,rixlab,0.31
Ризуненко Павел Витальевич,rizunenko pavel vitalьevič,0.19
"ООО ""РИЧ ПЛЮС""",rič plюs,0.29
"Rjcp, Unipessoal Lda","rjcp, unipessoal",0.25
"Rjhc Pereira, Unipessoal Lda","rjhc pereira, unipessoal",0.80
"Rjp Clean Solution, Lda",rjp clean solution,0.38
"Rkp Moldes, Unipessoal Lda","rkp moldes, unipessoal",0.35
"ООО ""РМ-МЕД""",rm-med,0.21
"ООО ""РМК""",rmk,0.44
"ООО ""РМК-72""",rmk-72,0.67
"ООО ""РМП""",rmp,0.44
RMX-Global Ltd,rmx-global ltd,0.24
"Rnm - Produtos Químicos, S.A",rnm - produtos químicos,0.22
ROAL SANITARIA SL,roal sanitaria,0.22
Roanza Limited,roanza limited,0.43
Robalo - Utilidades Domésticas e Hoteleiras S.A,robalo - utilidades domésticas e hoteleiras,0.35
Robert Half Deutschland GmbH & Co. KG,robert half deutschland gmbh & co. kg,0.23
Robert Housely Ltd,robert housely ltd,0.36
"Robert Mauser, Lda",robert mauser,0.65
Robert Peel International Limited,robert peel international limited,0.39
"Roberto Amazonas Gestão e Marketing, Unipessoal Lda","roberto amazonas gestão e marketing, unipessoal",0.33
Robi & Filhos Lda,robi & filhos,0.23
Rocha & Chaves S.A,rocha & chaves,0.52
Roche Diagnostic Limited,roche,0.32
ROCHE DIAGNOSTICS SL,roche,0.78
"ROCHE DIAGNOSTICS, S.L.",roche,1.00
"Roche Diagnostics, S. L.",roche,1.00
Roche Diagnostics GmbH,roche,1.00
"Roche Diagnostics, S.L.",roche,1.00
Roche Diagnostics A/S,roche,0.89
Roche Diagnostics Belgium NV/SA,roche,0.77
Roche Diagnostics Hellas Α.Ε.,roche,0.71
Roche Diagnostics Nederland bv,roche,0.76
"Roche Farma, S. A.",roche,0.47
"ROCHE FARMA SA,",roche,1.00
Roche Farmaceutica Quimica Lda,roche,0.59
Roche România,roche,0.51
"Roche, Sistemas de Diagnosticos, Sociedade Unipessoal Lda",roche,0.27
Rocher services,rocher services,0.35
Родионова Алёна Ивановна,rodionova alёna ivanovna,0.15
Rodital-Lux SRL,rodital-lux,0.34
Rodonorte-Transportes Portugueses S.A,rodonorte-transportes portugueses,0.27
Rodoviaria D'entre Douro e Minho S.A,rodoviaria dentre douro e minho,0.41
"Rodrigo Castro Braga, Unipessoal Lda","rodrigo castro braga, unipessoal",0.38
Родыгин Владимир Валентинович,rodыgin vladimir valentinovič,0.23
Roel Adriaan Ramp,roel adriaan ramp,0.35
Рогач Дмитрий Владиславович,rogač dmitriй vladislavovič,0.36
ROGER SERV S.R.L.,roger serv,0.38
"Rogiso - Materiais de Construção, Unipessoal Lda","rogiso - materiais de construção, unipessoal",0.30
"Rogério & Furtado, Lda",rogério & furtado,0.30
"Rolear ? Automatizações, Estudos e Representações, S.A","rolear ? automatizações, estudos e representações",0.15
Roller-Tech,roller-tech,0.23
Rolling Space - Unipessoal Lda,rolling space - unipessoal,0.27
"Rolnorte-Comercio de Rolamentos, Unipessoal Lda","rolnorte-comercio de rolamentos, unipessoal",0.52
Rolpel - Sociedade Transformadora de Papel Lda,rolpel - sociedade transformadora de papel,0.40
Романенко Татьяна Валерьевна,romanenko tatьяna valerьevna,0.26
Романюк Валерий Викторович,romanюk valeriй viktorovič,0.48
РОМАНЮК ІВАН ВАСИЛЬОВИЧ,romanюk іvan vasilьovič,0.69
Romapremium - Consulting & Engineering Lda,romapremium - consulting & engineering,0.23
Romchim S.R.L.,romchim,0.22
"ООО ""РОМЕД М""",romed m,0.57
Romedcom SRL,romedcom,0.80
"ООО ""РОМФАРМА-ЮГ""",romfarma-юg,0.42
"ООО ""РОМИСЛАВ""",romislav,0.42
"Romão Ibérica - Sistemas de Pesagem e Automação, Lda",romão ibérica - sistemas de pesagem e automação,0.22
"ООО ""РОНАТ-КРЫМ""",ronat-krыm,0.18
Ronsegur - Rondas e Segurança Lda,ronsegur - rondas e segurança,0.21
"ROPRE, Lda",ropre,0.24
Ropre Global Partner (502314710),ropre global partner (502314710),0.27
Roraco GmbH,roraco,0.21
"ООО ""РОСА""",rosa,0.60
Rosa Fardas-Comercio de Vestuario Lda,rosa fardas-comercio de vestuario,0.22
Rosemont Pharmaceuticals,rosemont pharmaceuticals,0.32
"ООО ""РОСМО""",rosmo,0.34
"ООО ""РОСТ ВЕР""",rost ver,0.46
Rostodamente - Farmácia Lda,rostodamente - farmácia,0.39
Ростовцева Дарья Петровна,rostovceva darья petrovna,0.38
"ООО ""РОСТСТРОЙ""",roststroй,0.41
"ООО ""РОСТВЕСТ""",rostvest,0.71
"ООО ""РОСТЭК""",rostэk,0.57
Rotary Club Prague International,rotary club prague international,0.16
Roteiro das Letras - Unipessoal Lda,roteiro das letras - unipessoal,0.44
ROTULA 2008 SL,rotula 2008,0.24
Ровнягина Ирина Валерьевна,rovnяgina irina valerьevna,0.22
ROYAL INVESCO,royal invesco,0.26
Royal Mail Group,royal mail group,0.55
ROYUELA MARTIN SA,royuela martin,0.53
"ООО ""РОШЕ""",roše,0.33
РОЖЕЦЬ ЛЮДМИЛА СТАНІСЛАВІВНА,rožecь lюdmila stanіslavіvna,0.19
Рожков Ігор Васильович | 2775200172,rožkov іgor vasilьovič | 2775200172,0.22
"ООО ""РОЙМАКС""",roйmaks,0.19
RP Handels-u. Service GmbH,rp handels-u. service,0.21
RPE2FIT Ltd,rpe2fit ltd,0.25
RR2 Finance s.r.o.,rr2 finance,0.36
"Rri - Serviços Ambientais, S.A",rri - serviços ambientais,0.22
"ООО ""РРК-ЦЕНТР""",rrk-centr,0.35
"ООО ""РРК-КРЫМ""",rrk-krыm,0.59
"ООО ""РРК-УРАЛ""",rrk-ural,0.63
RS Components Ltd,rs components ltd,0.16
"Rsa Clinical & Teaching, Lda",rsa clinical & teaching,0.30
RSJ Custody s.r.o.,rsj custody,0.29
RSM Risk Assurance Services LLP,rsm risk assurance services llp,0.19
"ООО ""РСТ""",rst,0.12
Рубцов Роман Анатольевич,rubcov roman anatolьevič,0.15
Рубцов Сергей Иванович,rubcov sergeй ivanovič,0.61
Ruben Saez de Tejada,ruben saez de tejada,0.29
Rubén Sáez de Tejada,ruben saez de tejada,1.00
RUBICON IT GmbH,rubicon it,0.40
"ООО ""РУБИКОН""",rubikon,0.71
Rubix Czech s. r. o.,rubix czech s. r. o,0.38
Rubrica Exemplar - Unipessoal Lda,rubrica exemplar - unipessoal,0.25
РУДЕНКО ОЛЕГ  МИКОЛАЙОВИЧ,rudenko oleg  mikolaйovič,0.30
Рудницкий Вадим Сергеевич,rudnickiй vadim sergeevič,0.40
Rudolf Heintel Gesellschaft m.b.H.,rudolf heintel gesellschaft,0.31
Rui & Eduardo Lda,rui & eduardo,0.20
Rui & Ferreira - Comércio de Material de Escritório e Inform...,rui & ferreira - comércio de material de escritório e inform,0.25
Rui & Mendes Lda,rui & mendes,0.28
"Rui Diogo, Unipessoal Lda","rui diogo, unipessoal",0.42
"Rui Machado Cruz - Multimédia, Unipessoal Lda","rui machado cruz - multimédia, unipessoal",0.58
"Rui Rolo, Unipessoal Lda","rui rolo, unipessoal",0.59
Rui Silvestre Ferreira & Filhos Lda,rui silvestre ferreira & filhos,0.35
Ruishi Far East Ltd,ruishi far east ltd,0.40
"Ruiz Lobato, S. L.",ruiz lobato,0.40
"ООО ""РУМЕД""",rumed,0.25
"ООО ""РУМОС""",rumos,0.60
"Rumos Serviços, S.A",rumos serviços,0.53
"ООО ""РУМОТЕКС""",rumoteks,0.55
"ООО ""РУНА""",runa,0.33
"Runlimit, Lda",runlimit,0.50
"ООО ""РУНО-МЕД""",runo-med,0.50
"Rural Solutions R.M.V.S., Unipessoal Lda","rural solutions r.m.v.s., unipessoal",0.23
"Ruralcoa, Lda",ruralcoa,0.32
"ООО ""РУС-МЕДТЕХ.РУ""",rus-medteh.ru,0.29
Русанов Вадим Геннадьевич,rusanov vadim gennadьevič,0.26
"ООО ""РУСБИОФАРМА""",rusbiofarma,0.28
"ООО ""РУСЕ""",ruse,0.40
"ООО ""РУСФАРМ""",rusfarm,0.55
"ООО ""РУСХИМ""",rushim,0.62
Русинович Артем Владимирович,rusinovič artem vladimirovič,0.29
"ООО ""РУСКОМФОРТ""",ruskomfort,0.32
"ООО ""РУСМЕД""",rusmed,0.50
"ООО ""РУСМЕДИКАЛ""",rusmedikal,0.75
"ООО ""РУСМЕДСЕРВИС""",rusmedservis,0.64
Russca IS,russca is,0.57
РУСТУМХАНОВ РАИС ГАБДУЛЛОВИЧ,rustumhanov rais gabdullovič,0.38
RUSU V.MARICICA INTREPRINDERE INDIVIDUALA,rusu v.maricica intreprindere individuala,0.32
"ООО ""РУСЬЭКО""",rusьэko,0.13
"Rwk, Lda",rwk,0.40
Rádio Campanário - Voz de Vila Viçosa Crl,rádio campanário - voz de vila viçosa crl,0.05
Rádio Cultural de Cerveira - R.C.C. Cooperativa de Radiofusã...,rádio cultural de cerveira - r.c.c. cooperativa de radiofusã,0.38
"Rádio e Televisão de Portugal, S.A",rádio e televisão de portugal,0.34
"Rádio Jl Fm, Unipessoal Lda","rádio jl fm, unipessoal",0.46
Rádio Noticias-Produções e Publicidade S.A,rádio noticias-produções e publicidade,0.39
Rádio Paços - Comunicação Regional Lda,rádio paços - comunicação regional,0.44
Rádio Popular - Electrodomésticos S.A,rádio popular - electrodomésticos,0.51
Rádio-Pax - Cooperativa de Serviços Crl,rádio-pax - cooperativa de serviços crl,0.36
Résilience,résilience,0.16
Resilience,résilience,1.00
Réunion technologies distribution,réunion technologies distribution,0.33
Réunion technologie distribution,réunion technologies distribution,1.00
"Rúben Pombinho, Unipessoal Lda","rúben pombinho, unipessoal",0.27
Rüsch Austria,rüsch austria,0.15
Рыбаков Сергей Юрьевич,rыbakov sergeй юrьevič,0.29
Рыбаков Валерий Ананьевич,rыbakov valeriй ananьevič,0.72
РЫБАЛКО ДМИТРИЙ АЛЕКСЕЕВИЧ,rыbalko dmitriй alekseevič,0.63
Рыбина Любовь Михайловна,rыbina lюbovь mihaйlovna,0.40
Рыков Денис Викторович,rыkov denis viktorovič,0.35
"ООО ""РЭД-МЕДИКАЛ""",rэd-medikal,0.30
"ООО ""РЭМ""",rэm,0.43
РЮТИН АНТОН ВЛАДИМИРОВИЧ,rюtin anton vladimirovič,0.15
Рябоконь Нонна Викторовна,rяbokonь nonna viktorovna,0.37
Рябов Евгений Владимирович,rяbov evgeniй vladimirovič,0.47
РЯБУЩЕНКО  ЛЮДМИЛА МИКОЛАЇВНА,rяbuщenko  lюdmila mikolaїvna,0.40
Рябченко Ольга Петровна,rяbčenko olьga petrovna,0.54
РЯБЧУН РОМАН МИКОЛАЙОВИЧ,rяbčun roman mikolaйovič,0.38
S & T Plus s.r.o.,s & t plus,0.18
"S & T Plus, s.r.o.",s & t plus,1.00
S 2 Health GmbH,s 2 health,0.40
S&T Medtech,s&t medtech,0.29
"S&T Plus, s.r. o.","s&t plus, s.r. o",0.30
S. A. B. Impex s.r.o.,s. a. b. impex,0.27
"S. A. B. Impex, s.r.o.",s. a. b. impex,1.00
"S.A.B. Impex, s.r.o.",s. a. b. impex,1.00
"S. E. Carburos Metálicos, S. A.",s. e. carburos metálicos,0.47
"S. H. L. Oxygen - Serviços de Higiene Profissional, Lda",s. h. l. oxygen - serviços de higiene profissional,0.35
S. Jokužio leidykla-spaustuvė,s. jokužio leidykla-spaustuvė,0.18
UAB S. Jurkus ir partneriai,s. jurkus ir partneriai,0.38
S.C. A.D. TOP CONSTRUCT S.R.L.,a.d. top construct,0.30
S.C. ABB Medtec S.R.L.,abb medtec,0.47
S.C. ADA TRADE INVEST S.R.L.,ada trade invest,0.50
S.C. ADAR UNIC SOLUTIONS S.R.L.,adar unic solutions,0.58
S.C. Agent Medical S.R.L.,agent medical,0.48
S.C. AIS PRODIMPEX SRL,ais prodimpex,0.50
S.C. AL SHEFA FARM S.R.L.,al shefa farm,0.44
S.C. ALDEDRA SRL S.R.L.,aldedra srl,0.65
S.C. ALISON HAYES (ROMANIA) S.R.L.,alison hayes (romania),0.42
S.C. ALMAS OFFICE S.R.L.,almas office,0.45
S.C. ALMOSS INTERNATIONAL DEVELOPMENT S.R.L.,almoss international development,0.44
S.C. Alsa Imed S.R.L.,alsa imed,0.47
S.C. ALTEX ROMANIA S.R.L.,altex romania,0.50
S.C. AMMA PRINT S.R.L.,amma print,0.55
S.C. ANCA FARM S.R.L.,anca farm,0.62
S.C. ANCASTA SERVICES SRL S.R.L.,ancasta services srl,0.56
S.C. ANDPROD TRADING S.R.L.,andprod trading,0.44
S.C. ANN REEVES & FRANCESCA S.A.,ann reeves & francesca,0.47
S.C. APC UNIVERSAL PARTNER SRL S.R.L.,apc universal partner srl,0.42
S.C. APOLLO S.R.L.,apollo,0.44
S.C. APRIL'91 S.R.L.,april91,0.70
S.C. AQUA PHAR CONSULTING S.R.L.,aqua phar consulting,0.49
S.C. AQUATOR S.R.L. S.R.L.,aquator s.r.l,0.60
S.C. ARANKNIT S.R.L.,aranknit,0.45
S.C. ARIESUL S.A.,ariesul,0.64
S.C. ARIESUL CONF S.A.,ariesul conf,0.83
S.C. ARMONIA CASA S.R.L.,armonia casa,0.53
S.C. ARMONIA TEXTIL S.R.L.,armonia textil,0.72
S.C. ART NOUVEAU S.R.L.,art nouveau,0.51
S.C. ARTSANI COM S.R.L. S.R.L.,artsani com s.r.l,0.47
S.C. ASCENTA IT SERVICES SRL S.R.L.,ascenta it services srl,0.48
S.C. ASINED AUTOMOTIVE S.R.L.,asined automotive,0.40
S.C. ATLANCO EXIM S.R.L.,atlanco exim,0.46
S.C. ATLAS SPORT S.R.L.,atlas sport,0.61
S.C. Austral Trade S.R.L.,austral trade,0.47
S.C. AUTO TERMINAL S.R.L.,auto terminal,0.61
S.C. AVALUX-STAR SRL S.R.L.,avalux-star srl,0.42
S.C. AVANTEX SRL S.R.L.,avantex srl,0.72
S.C. BEL SERVICII SOFT S.R.L.,bel servicii soft,0.47
S.C. BENVENUTI S.R.L.,benvenuti,0.50
S.C. BICO INDUSTRIES S.R.L.,bico industries,0.41
S.C. BIO AQUA GROUP S.R.L.,bio aqua group,0.56
S.C. Biogenetix S.R.L.,biogenetix,0.53
S.C. BIOLAB SCIENTIFIC S.R.L.,biolab scientific,0.65
S.C. BIOREZONANCE CLINIQUE CENTER S.R.L.,biorezonance clinique center,0.51
S.C. BIOTECH GROUP DISTRIBUTION S.R.L.,biotech group distribution,0.34
S.C. BIOTECHNICS IMPLANT S.R.L.,biotechnics implant,0.47
S.C. BLACK NET S.R.L.,black net,0.53
S.C. BMC Menaj Construct S.R.L.,bmc menaj construct,0.53
S.C. BOGMAR S.R.L.,bogmar,0.46
S.C. Bony-Med S.R.L.,bony-med,0.67
S.C. BPM TEHNOLOGICA S.R.L.,bpm tehnologica,0.48
S.C. Braiconf S.A.,braiconf,0.48
S.C. BRG VENCER S.R.L.,brg vencer,0.57
S.C. BRICOSTORE ROMANIA S.A.,bricostore romania,0.47
S.C. BRISELL DISTRIBUTION S.R.L.,brisell distribution,0.50
S.C. BTL ROMANIA APARATURA MEDICALA S.R.L. S.R.L.,btl romania aparatura medicala s.r.l,0.36
S.C. BULDOARDEAL S.R.L.,buldoardeal,0.46
S.C. BUNZL DISTRIBUTIE S.R.L.,bunzl distributie,0.58
S.C. C&A PHOENIX ART S.R.L.,c&a phoenix art,0.33
S.C. CARESTA STORE S.R.L.,caresta store,0.47
S.C. CARO S.R.L. S.C.M.,caro s.r.l. s.c.m,0.55
S.C. CAROSIB S.R.L.,carosib,0.59
S.C. CARTEA SI CAIETUL SRL S.R.L.,cartea si caietul srl,0.53
S.C. CASA DE MODA KANYA S.R.L.,casa de moda kanya,0.45
S.C. CEGEDIM RX S.R.L.,cegedim rx,0.47
S.C. CERTIMPEX S.R.L.,certimpex,0.69
S.C. CERTQUALITY MANAGEMENT S.R.L. S.R.L.,certquality management s.r.l,0.51
S.C. CERULEX S.R.L.,cerulex,0.49
S.C. CERVA ROMANIA S.R.L.,cerva romania,0.53
S.C. Chicinas Mob S.R.L.D.,chicinas mob s.r.l.d,0.37
S.C. CIPCOS MAR COMPLEX S.R.L.,cipcos mar complex,0.54
S.C. CLASS VENTILATION S.R.L.,class ventilation,0.40
S.C. Clic Med Trade S.R.L.,clic med trade,0.44
S.C. CODUCK BROTHERS SA S.A.,coduck brothers sa,0.48
